"kind","route","probe_route","methods","public_state","required_permission","required_role","allowed_roles","expected_blocked_roles","expected_unauthenticated","expected_blocked","expected_cache","indexing","source_file","unauthenticated_status","super_admin_status","director_status","principal_status","admin_status","accountant_status","teacher_status","parent_status","viewer_status"
"api","/api/ai-assistant/ask","/api/ai-assistant/ask","POST","PRIVATE","VIEW_AI_ASSISTANT","","SUPER_ADMIN|DIRECTOR|PRINCIPAL|ADMIN","ACCOUNTANT|TEACHER|PARENT|VIEWER","401","403_OR_404","private, no-store","NOINDEX","api/ai-assistant/ask/route.ts","401","405","405","405","405","405","405","405","405"
"api","/api/ai-assistant/audit","/api/ai-assistant/audit","GET","PRIVATE","VIEW_AI_ASSISTANT_AUDIT","","SUPER_ADMIN|DIRECTOR|PRINCIPAL","ADMIN|ACCOUNTANT|TEACHER|PARENT|VIEWER","401","403_OR_404","private, no-store","NOINDEX","api/ai-assistant/audit/route.ts","401","200","200","200","403","403","403","403","403"
"api","/api/ai-assistant/documents/search","/api/ai-assistant/documents/search","POST","PRIVATE","USE_AI_ASSISTANT_DOCUMENTATION","","SUPER_ADMIN|DIRECTOR|PRINCIPAL|ADMIN","ACCOUNTANT|TEACHER|PARENT|VIEWER","401","403_OR_404","private, no-store","NOINDEX","api/ai-assistant/documents/search/route.ts","401","405","405","405","405","405","405","405","405"
"api","/api/ai-assistant/evaluations","/api/ai-assistant/evaluations","GET|POST","PRIVATE","RUN_AI_ASSISTANT_EVALUATIONS","","SUPER_ADMIN|DIRECTOR","PRINCIPAL|ADMIN|ACCOUNTANT|TEACHER|PARENT|VIEWER","401","403_OR_404","private, no-store","NOINDEX","api/ai-assistant/evaluations/route.ts","401","200","200","403","403","403","403","403","403"
"api","/api/ai-assistant/profiles","/api/ai-assistant/profiles","GET|PATCH","PRIVATE","MANAGE_AI_ASSISTANT","","SUPER_ADMIN|DIRECTOR","PRINCIPAL|ADMIN|ACCOUNTANT|TEACHER|PARENT|VIEWER","401","403_OR_404","private, no-store","NOINDEX","api/ai-assistant/profiles/route.ts","401","200","200","403","403","403","403","403","403"
"api","/api/ai-assistant/profiles/[id]/health","/api/ai-assistant/profiles/qasec1qa-object-missing/health","POST","PRIVATE","MANAGE_AI_ASSISTANT","","SUPER_ADMIN|DIRECTOR","PRINCIPAL|ADMIN|ACCOUNTANT|TEACHER|PARENT|VIEWER","401","403_OR_404","private, no-store","NOINDEX","api/ai-assistant/profiles/[id]/health/route.ts","401","405","405","405","405","405","405","405","405"
"api","/api/ai-assistant/profiles/[id]/workflow","/api/ai-assistant/profiles/qasec1qa-object-missing/workflow","POST","PRIVATE","MANAGE_AI_ASSISTANT","","SUPER_ADMIN|DIRECTOR","PRINCIPAL|ADMIN|ACCOUNTANT|TEACHER|PARENT|VIEWER","401","403_OR_404","private, no-store","NOINDEX","api/ai-assistant/profiles/[id]/workflow/route.ts","401","405","405","405","405","405","405","405","405"
"api","/api/ai-assistant/sources","/api/ai-assistant/sources","GET","PRIVATE","MANAGE_AI_ASSISTANT_SOURCES","","SUPER_ADMIN|DIRECTOR","PRINCIPAL|ADMIN|ACCOUNTANT|TEACHER|PARENT|VIEWER","401","403_OR_404","private, no-store","NOINDEX","api/ai-assistant/sources/route.ts","401","200","200","403","403","403","403","403","403"
"api","/api/ai-assistant/sources/[id]","/api/ai-assistant/sources/qasec1qa-object-missing","PATCH","PRIVATE","MANAGE_AI_ASSISTANT_SOURCES","","SUPER_ADMIN|DIRECTOR","PRINCIPAL|ADMIN|ACCOUNTANT|TEACHER|PARENT|VIEWER","401","403_OR_404","private, no-store","NOINDEX","api/ai-assistant/sources/[id]/route.ts","401","405","405","405","405","405","405","405","405"
"api","/api/ai-assistant/tools","/api/ai-assistant/tools","GET","PRIVATE","USE_AI_ASSISTANT_AGGREGATES","","SUPER_ADMIN|DIRECTOR|PRINCIPAL","ADMIN|ACCOUNTANT|TEACHER|PARENT|VIEWER","401","403_OR_404","private, no-store","NOINDEX","api/ai-assistant/tools/route.ts","401","200","200","200","403","403","403","403","403"
"api","/api/attendance/staff","/api/attendance/staff","GET|POST","PRIVATE","VIEW_STAFF_ATTENDANCE","","SUPER_ADMIN|DIRECTOR|PRINCIPAL|ADMIN","ACCOUNTANT|TEACHER|PARENT|VIEWER","401","403_OR_404","private, no-store","NOINDEX","api/attendance/staff/route.ts","401","400","400","400","400","403","403","403","403"
"api","/api/attendance/staff/reports/export","/api/attendance/staff/reports/export","GET","PRIVATE","VIEW_STAFF_ATTENDANCE_REPORTS","","SUPER_ADMIN|DIRECTOR|PRINCIPAL|ADMIN|VIEWER","ACCOUNTANT|TEACHER|PARENT","401","403_OR_404","private, no-store","NOINDEX","api/attendance/staff/reports/export/route.ts","401","200","200","200","200","403","403","403","200"
"api","/api/attendance/students","/api/attendance/students","GET|POST","PRIVATE","VIEW_STUDENT_ATTENDANCE","","SUPER_ADMIN|DIRECTOR|PRINCIPAL|ADMIN|TEACHER","ACCOUNTANT|PARENT|VIEWER","401","403_OR_404","private, no-store","NOINDEX","api/attendance/students/route.ts","401","400","400","400","400","403","400","403","403"
"api","/api/attendance/students/reports/export","/api/attendance/students/reports/export","GET","PRIVATE","VIEW_STUDENT_ATTENDANCE_REPORTS","","SUPER_ADMIN|DIRECTOR|PRINCIPAL|ADMIN|VIEWER","ACCOUNTANT|TEACHER|PARENT","401","403_OR_404","private, no-store","NOINDEX","api/attendance/students/reports/export/route.ts","401","200","200","200","200","403","403","403","200"
