page_id,source_family,source_page_role,page_count,section_order,header_logo,school_identity,student_identity,examination_title,marks_columns_widths,skills_personality,total_percentage_grade_rank,attendance,remarks,chart,grade_legend,signatures,margins,typography,borders,vertical_density,colour_palette,monochrome,classification,calibration_required
SRC-KG-01,KG,cover,mismatch,wrong,material,material,material,n/a,n/a,n/a,missing,n/a,missing,missing,n/a,missing,material,material,material,material,material,material,MISSING_STRUCTURE,pink-green angular cover logo identity box booklet title
SRC-KG-02,KG,student profile,mismatch,wrong,material,material,material,n/a,n/a,n/a,material,material,n/a,n/a,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,layered borders photo box dotted profile fields
SRC-KG-03,KG,instructions and grade scale,mismatch,wrong,material,material,material,n/a,n/a,n/a,material,material,n/a,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,compact instructions and developmental grade table
SRC-KG-04,KG,intellectual skills,mismatch,wrong,material,material,n/a,n/a,material,material,material,material,n/a,n/a,n/a,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,five-evaluation dense skills matrix
SRC-KG-05,KG,English development,mismatch,wrong,material,material,n/a,n/a,material,n/a,material,material,n/a,n/a,n/a,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,detailed oral and written matrix
SRC-KG-06,KG,Hindi and Number Work,mismatch,wrong,material,material,n/a,n/a,material,n/a,material,material,n/a,n/a,n/a,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,detailed Hindi and number-work matrix
SRC-KG-07,KG,Number Work EVS rhymes story,mismatch,wrong,material,material,n/a,n/a,material,n/a,material,material,n/a,n/a,n/a,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,subject-development continuation
SRC-KG-08,KG,personality attendance growth,mismatch,wrong,material,material,n/a,n/a,n/a,material,material,material,material,n/a,n/a,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,personality monthly attendance height weight
SRC-KG-09,KG,comments signatures promotion,mismatch,wrong,material,material,material,n/a,n/a,n/a,material,material,material,material,n/a,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,five comments signatures and promotion
SRC-KG-10,KG,back cover,mismatch,wrong,material,material,n/a,n/a,n/a,n/a,missing,n/a,missing,missing,n/a,missing,material,material,material,material,material,material,MISSING_STRUCTURE,pink-green final cover and school identity
SRC-I-01,Classes I-II,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,compact occupied A4 marks and skills side by side
SRC-I-02,Classes I-II,academic one-page,mismatch,wrong,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,material,MATERIAL_LAYOUT_DIFFERENCE,compact occupied A4 marks and skills side by side
